id,user_id,indicator,value,start_time,end_time,source_table,deleted,create_time,update_time
14598807,212,daily_stats_sleep_light,77,2024-07-14 00:00:00,2024-05-02 00:00:00,sleep_7day_stats_job,0,1750411505,1750411505
16644185,170,average_cycling_speed,39557.142857142855,2024-08-02,2024-07-13 23:59:59,walking_distance_job,0,1752759025,1752758965
2588545,143,total_walking_distance,5,2024-02-04 23:59:59,2025-04-20 23:59:59,sleep_daily_metrics_job,0,1752789297,1752789330
8422699,169,daily_stats_sleep_light,54642.857142857145,2025-04-06 23:59:59,2025-06-10 23:59:59,sleep_pattern_job,0,1752796723,1752796723
1008765,634,walking_speed_consistency_score,3541.02,2024-01-13 23:59:59,2024-11-12 23:59:59.000000,activity_daily_job,0,1752796796,1752796796
10393529,169,average_steps_7days,104,2021-12-04 00:00:00,2024-01-13 23:59:59,activity_daily_job,0,1752769690,1752769663
1715925,569,daily_stats_walkingRunningDistances,1.20,2019-07-27 16:00:00,2023-06-27 15:59:59,activity_rolling_avg_job,0,1752796792,1752796792
2120392,38,walkingRunningDistances_consistency_score,44.3,2020-07-07 16:00:00,2024-04-10 23:59:59,indicator_calculation_job,0,1750411505,1750411505
2883391,126,daily_stats_walkingRunningDistances,"{""primary_value"" : 35.71, ""sum"" : 35.71, ""avg"" : 35.71, ""max"" : 35.71, ""min"" : 35.71, ""count"" : 1, ""hours"" : 1, ""aggregation_type"" : null, ""data_type"" : ""daily_summary""}",2024-04-23 16:00:00,2023-07-18 03:59:59,walking_distance_job,0,1752787565,1752787509
7529097,170,floors_consistency_score,1741131900.000000,2024-11-22 16:00:00,2024-07-31 23:59:59,sleep_daily_metrics_job,0,1752796806,1752796806
3305377,126,average_walking_speed,88.9,2017-05-01 23:59:59,2024-11-20 00:00:00,floors_indicator_job,0,1751541627,1751543123
3078036,137,rolling_7d_avg_sleepAnalysis_Asleep(Unspecified),"{""primary_value"" : 7.70, ""sum"" : 7.70, ""avg"" : 0.77, ""max"" : 1.92, ""min"" : 0.01, ""count"" : 10, ""hours"" : 10, ""aggregation_type"" : ""sum"", ""data_type"" : ""daily_summary""}",2019-06-11 00:00:00,2025-01-11 07:59:59,activity_pattern_job,0,1751280659,1751280510
1643659,170,total_walking_distance,"{""primary_value"" : 3.46, ""sum"" : 336.02, ""avg"" : 3.46, ""max"" : 4.39, ""min"" : 1.58, ""count"" : 97, ""hours"" : 11, ""aggregation_type"" : ""weighted_average"", ""data_type"" : ""daily_summary""}",2020-12-14 00:00:00,2024-10-30 11:57:00.000000,walking_distance_job,0,1750411505,1750411505
7801718,569,sleep_light_consistency_score,35.38,2017-11-05 00:00:00,2023-11-14 00:00:00,floors_indicator_job,0,1752796310,1752796319
7189404,143,sleepAnalysis_Asleep(REM)_consistency_score,"{""primary_value"" : 18.00, ""sum"" : 18.00, ""avg"" : 2.57, ""max"" : 0.00, ""min"" : 0.00, ""count"" : 7, ""hours"" : 4, ""aggregation_type"" : ""sum"", ""data_type"" : ""daily_summary""}",2024-06-07 23:59:59,2025-01-12 23:59:59,sleep_daily_job,0,1752162811,1752163631
15649638,569,total_floors,95.19999999999999,2018-11-23 00:00:00,2024-01-22 04:59:59,activity_rolling_avg_job,0,1752796803,1752796803
14549484,634,daily_stats_heart_rate_variability_sdnn,"{""primary_value"" : 31.49, ""sum"" : 314.85, ""avg"" : 31.49, ""max"" : 65.89, ""min"" : 11.15, ""count"" : 10, ""hours"" : 9, ""aggregation_type"" : null, ""data_type"" : ""daily_summary""}",2018-07-11 00:00:00,2024-02-16 23:59:59,walking_speed_job,0,1752557975,1752557153
12777880,126,sleep_core_duration,"{""primary_value"" : 39.60, ""sum"" : 39.60, ""avg"" : 39.60, ""max"" : 39.60, ""min"" : 39.60, ""count"" : 1, ""hours"" : 1, ""aggregation_type"" : ""weighted_average"", ""data_type"" : ""daily_summary""}",2023-03-05 16:00:00,2024-01-18 15:59:59,activity_pattern_job,0,1752794411,1752794399
6551482,126,daily_stats_walking_speed,90342.85714285714,2024-10-11 23:59:59,2025-04-09 15:59:59,sleep_7day_stats_job,0,1752792967,1752792965
8362350,212,total_steps,80,2025-06-09 23:59:59,2022-01-24 23:59:59,cycling_indicator_job,0,1750411505,1750411505
6638342,270,daily_stats_distance_walking_running,38100,2024-04-16 23:59:59,2024-01-26 23:59:59,walking_speed_job,0,1750411505,1750411505
5329345,569,rolling_7d_avg_sleep_light,6.76,2023-02-27,2017-05-23 00:00:00,sleep_daily_metrics_job,0,1752727971,1752727682
4220017,569,sleepAnalysis_Asleep(Deep)_consistency_score,388.78,2025-05-16 23:59:59,2024-09-16 23:59:59,walking_speed_job,0,1752796807,1752796807
16210321,634,daily_stats_distance_walking_running,"{""primary_value"" : 6674.22, ""sum"" : 6674.22, ""avg"" : 392.60, ""max"" : 1412.69, ""min"" : 15.00, ""count"" : 17, ""hours"" : 17, ""aggregation_type"" : ""sum"", ""data_type"" : ""daily_summary""}",2020-12-12 00:00:00,2023-08-30 23:59:59,sleep_daily_metrics_job,0,1750411505,1750411505
8236912,634,total_floors,35.94,2024-12-17 23:59:59,2019-02-13 23:59:59.000000,floors_indicator_job,0,1752105908,1752105455
13931544,215,heartRates_consistency_score,"{""primary_value"" : 36.53, ""sum"" : 36.53, ""avg"" : 36.53, ""max"" : 36.53, ""min"" : 36.53, ""count"" : 1, ""hours"" : 1, ""aggregation_type"" : null, ""data_type"" : ""daily_summary""}",2023-10-18 00:00:00,2021-04-05 23:59:59,activity_daily_job,0,1752289901,1752290846
15660514,169,rolling_7d_avg_walkingRunningDistances,4.29,2019-09-18,2025-05-14 23:59:59,activity_rolling_avg_job,0,1752796807,1752796807
16629421,170,rolling_7d_avg_restingHeartRates,"{""primary_value"" : 6.85, ""sum"" : 6.85, ""avg"" : 0.53, ""max"" : 1.81, ""min"" : 0.01, ""count"" : 13, ""hours"" : 13, ""aggregation_type"" : ""sum"", ""data_type"" : ""daily_summary""}",2024-03-18 00:00:00,2023-10-28 23:59:59,walking_distance_job,0,1751535420,1751535439
13134344,634,daily_stats_speeds,63.3,2022-06-09 23:59:59,2025-04-23 15:59:59,sleep_7day_stats_job,0,1751364313,1751363856
